                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0191,                 2.7816,                 1.4197,                0.21879,                 0.1218,                0.07302,                0.03188,                   2.32,                 2.0499,                 1.1834,               0.070037,              0.0033292,              0.0033292
                      2,                  2.281,                  2.118,                 1.1682,                0.16129,                0.13386,                0.09805,                0.04654,                 2.0961,                 1.8233,                 1.1002,               0.039817,              0.0064427,              0.0064427
                      3,                 2.1083,                 1.9431,                 1.1268,                 0.2435,                0.15327,                0.11073,                0.05528,                 1.9345,                 1.7768,                 1.0794,              0.0093774,              0.0093362,              0.0093362
                      4,                 2.0308,                 1.8284,                 1.1022,                0.21279,                0.17151,                0.12741,                 0.0643,                 1.8605,                 1.5805,                  1.055,                0.00901,                0.00901,                0.00901
                      5,                 1.9724,                 1.7775,                 1.0897,                 0.2435,                0.18059,                0.14978,                0.07623,                  1.787,                 1.5051,                 1.0369,                0.00868,                0.00868,                0.00868
                      6,                 1.9319,                 1.7334,                 1.0756,                0.26954,                0.18475,                0.15606,                0.08155,                  1.737,                 1.4451,                 1.0192,                0.00835,                0.00835,                0.00835
                      7,                 1.9063,                 1.6882,                 1.0686,                0.24183,                0.19512,                0.16127,                0.08584,                 1.7216,                 1.4273,                 1.0192,                0.00802,                0.00802,                0.00802
                      8,                 1.8834,                 1.6674,                 1.0588,                0.23191,                0.19443,                0.15969,                0.08484,                 1.7334,                 1.4481,                 1.0198,                0.00769,                0.00769,                0.00769
                      9,                 1.8559,                 1.6159,                 1.0533,                0.23566,                0.19711,                0.16712,                0.08921,                 1.6937,                 1.3844,                 1.0077,                0.00736,                0.00736,                0.00736
                     10,                 1.8301,                 1.6041,                 1.0483,                0.29438,                0.20939,                0.17677,                0.09496,                 1.6738,                 1.3933,                0.99865,                0.00703,                0.00703,                0.00703
                     11,                 1.8103,                 1.5686,                 1.0406,                0.26228,                0.21501,                0.17873,                0.09472,                 1.6514,                 1.3571,                0.99207,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.8034,                 1.5503,                 1.0378,                0.25056,                0.21824,                0.18339,                0.09764,                 1.6584,                 1.3993,                0.99778,                0.00637,                0.00637,                0.00637
                     13,                 1.8003,                 1.5486,                 1.0372,                0.28293,                0.22679,                0.19315,                0.10604,                 1.6372,                  1.329,                0.98549,                0.00604,                0.00604,                0.00604
                     14,                 1.7813,                 1.5309,                 1.0337,                0.29394,                0.21742,                0.18999,                0.10768,                 1.6239,                 1.3197,                0.99415,                0.00571,                0.00571,                0.00571
                     15,                 1.7615,                  1.506,                 1.0269,                0.28556,                0.22944,                0.19869,                0.10963,                 1.6103,                  1.341,                0.97895,                0.00538,                0.00538,                0.00538
                     16,                 1.7473,                 1.4862,                 1.0216,                0.33162,                0.22046,                0.20667,                0.11428,                 1.5904,                  1.273,                0.97633,                0.00505,                0.00505,                0.00505
                     17,                 1.7299,                 1.4795,                 1.0214,                0.31394,                  0.226,                0.21052,                0.11381,                   1.58,                 1.2765,                0.97574,                0.00472,                0.00472,                0.00472
                     18,                 1.7328,                 1.4676,                 1.0173,                0.30931,                0.23163,                0.21336,                0.11911,                 1.5608,                 1.2443,                0.96984,                0.00439,                0.00439,                0.00439
                     19,                 1.7109,                 1.4395,                 1.0107,                0.31361,                0.23304,                0.21642,                0.11747,                 1.5596,                 1.2484,                0.97036,                0.00406,                0.00406,                0.00406
                     20,                 1.7179,                 1.4501,                 1.0146,                0.31528,                 0.2435,                0.22506,                0.12413,                 1.5406,                 1.2275,                0.96582,                0.00373,                0.00373,                0.00373
                     21,                 1.6109,                 1.3329,                0.99331,                0.32042,                0.23681,                0.21863,                0.12189,                 1.5483,                 1.2336,                0.96631,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.5935,                  1.308,                0.98827,                0.31384,                0.24719,                0.22734,                0.12617,                 1.5337,                 1.2105,                0.96544,                0.00307,                0.00307,                0.00307
                     23,                 1.5857,                 1.2925,                0.98512,                0.33659,                0.25312,                 0.2352,                0.13163,                 1.5221,                 1.1898,                0.96196,                0.00274,                0.00274,                0.00274
                     24,                 1.5754,                 1.2709,                0.97884,                0.34572,                0.25032,                0.23498,                 0.1323,                  1.527,                 1.1815,                0.95911,                0.00241,                0.00241,                0.00241
                     25,                  1.563,                 1.2592,                0.98055,                0.36913,                0.24644,                0.23457,                0.13315,                 1.5066,                 1.1755,                0.95635,                0.00208,                0.00208,                0.00208
                     26,                 1.5507,                 1.2353,                0.97327,                0.34051,                0.25682,                 0.2414,                0.13459,                 1.5025,                  1.169,                0.95632,                0.00175,                0.00175,                0.00175
                     27,                 1.5334,                 1.2202,                0.96964,                0.34286,                0.25848,                 0.2434,                0.13711,                 1.4851,                  1.157,                0.94726,                0.00142,                0.00142,                0.00142
                     28,                 1.5182,                 1.1975,                0.96518,                0.34831,                0.27082,                0.24936,                0.13983,                 1.4795,                 1.1369,                0.94943,                0.00109,                0.00109,                0.00109
                     29,                 1.5104,                 1.1824,                0.96313,                0.36444,                0.27028,                0.25503,                0.14421,                 1.4722,                 1.1311,                0.94293,                0.00076,                0.00076,                0.00076
                     30,                 1.4919,                 1.1602,                0.95826,                0.35549,                0.27191,                 0.2551,                0.14447,                 1.4567,                 1.1169,                 0.9409,                0.00043,                0.00043,                0.00043
